iter	Passed	Remaining
408	4733	87846
409	4747	87880
410	4760	87896
411	4777	87980
412	4790	88002
413	4800	87969
414	4813	87983
415	4825	87979
416	4839	87997
417	4850	87977
418	4859	87920
419	4872	87930
420	4881	87881
421	4893	87880
422	4904	87852
423	4920	87926
424	4935	87976
425	4946	87937
426	4958	87933
427	4969	87924
428	4981	87920
429	4998	87988
430	5010	87994
431	5024	88016
432	5040	88081
433	5053	88103
434	5063	88056
435	5074	88031
436	5084	87992
437	5097	88011
438	5111	88038
439	5122	88019
440	5130	87944
441	5146	88005
442	5157	87987
443	5168	87962
444	5183	88005
445	5195	87995
446	5207	87986
447	5213	87891
448	5224	87868
449	5235	87841
450	5244	87777
451	5255	87770
452	5266	87738
453	5276	87704
454	5286	87664
455	5295	87608
456	5305	87569
457	5315	87530
458	5325	87485
459	5338	87501
460	5349	87483
461	5356	87395
462	5366	87366
463	5375	87303
464	5390	87350
465	5405	87389
466	5415	87352
467	5426	87341
468	5441	87378
469	5454	87395
470	5469	87431
471	5483	87449
472	5492	87401
473	5505	87414
474	5514	87357
475	5526	87354
476	5537	87332
477	5547	87302
478	5557	87256
479	5564	87171
480	5574	87134
481	5585	87121
482	5594	87069
483	5605	87046
484	5619	87066
485	5627	87000
486	5637	86965
487	5647	86939
488	5653	86833
489	5660	86757
490	5674	86778
491	5689	86818
492	5700	86810
493	5708	86736
494	5721	86746
495	5736	86781
496	5750	86813
497	5762	86815
498	5770	86746
499	5780	86705
500	5791	86681
501	5803	86675
502	5813	86646
503	5824	86623
504	5836	86621
505	5850	86640
506	5860	86606
507	5871	86587
508	5880	86544
509	5889	86494
510	5900	86473
511	5913	86482
512	5925	86479
513	5937	86473
514	5951	86494
515	5962	86482
516	5971	86430
517	5983	86425
518	5999	86479
519	6011	86472
520	6025	86491
521	6036	86474
522	6047	86460
523	6057	86423
524	6071	86451
525	6085	86475
526	6098	86479
527	6108	86447
528	6119	86422
529	6129	86395
530	6139	86355
531	6154	86398
532	6167	86399
533	6175	86338
534	6186	86325
535	6198	86312
536	6212	86332
537	6223	86317
538	6235	86307
539	6246	86300
540	6256	86262
541	6267	86248
542	6280	86247
543	6288	86183
544	6297	86144
545	6306	86103
546	6317	86077
547	6327	86039
548	6338	86020
549	6349	86000
550	6360	85993
551	6369	85937
552	6379	85912
553	6388	85862
554	6399	85839
555	6409	85814
556	6419	85782
557	6431	85772
558	6438	85708
559	6450	85702
560	6460	85671
561	6470	85632
562	6481	85611
563	6493	85616
564	6505	85608
565	6516	85587
566	6529	85591
567	6538	85557
568	6548	85524
569	6555	85452
570	6564	85411
571	6572	85346
572	6584	85348
573	6599	85384
574	6610	85366
575	6618	85309
576	6629	85284
577	6638	85238
578	6647	85201
579	6658	85182
580	6667	85143
581	6678	85124
582	6687	85085
583	6699	85078
584	6711	85064
585	6719	85015
586	6729	84979
587	6738	84939
588	6751	84948
589	6762	84934
590	6770	84875
591	6781	84858
592	6794	84862
593	6804	84832
594	6816	84830
595	6824	84783
596	6833	84741
597	6845	84732
598	6857	84731
599	6865	84675
600	6875	84645
601	6885	84618
602	6897	84617
603	6909	84601
604	6922	84620
605	6935	84626
606	6946	84601
607	6957	84585
608	6967	84555
609	6977	84527
610	6986	84488
611	6996	84459
612	7008	84451
613	7023	84490
614	7034	84466
615	7045	84451
616	7055	84423
617	7063	84368
618	7074	84355
619	7082	84307
620	7094	84297
621	7108	84315
622	7118	84294
623	7133	84326
624	7145	84316
625	7158	84324
626	7171	84336
627	7179	84282
628	7190	84257
629	7199	84223
630	7211	84217
631	7221	84187
632	7230	84153
633	7241	84137
634	7251	84101
635	7262	84093
636	7274	84080
637	7287	84089
638	7297	84059
639	7308	84043
640	7315	83984
641	7325	83955
642	7337	83947
643	7345	83906
644	7357	83900
645	7366	83854
646	7376	83836
647	7383	83772
648	7393	83744
649	7406	83750
650	7415	83709
651	7426	83697
652	7436	83669
653	7445	83633
654	7456	83615
655	7465	83576
656	7474	83536
657	7483	83496
658	7494	83483
659	7509	83519
660	7520	83500
661	7528	83448
662	7540	83451
663	7549	83410
664	7561	83399
665	7571	83382
666	7579	83329
667	7590	83313
668	7601	83301
669	7610	83262
670	7619	83228
671	7630	83213
672	7642	83199
673	7656	83218
674	7668	83219
675	7676	83173
676	7686	83142
677	7694	83094
678	7705	83078
679	7712	83028
680	7724	83021
681	7736	83014
682	7745	82981
683	7761	83012
684	7774	83018
685	7780	82953
686	7790	82931
687	7801	82914
688	7814	82918
689	7825	82904
690	7835	82884
691	7842	82825
692	7853	82806
693	7861	82759
694	7870	82729
695	7877	82671
696	7893	82700
697	7902	82674
698	7912	82645
699	7923	82625
700	7929	82569
701	7941	82559
702	7952	82545
703	7966	82558
704	7976	82537
705	7989	82540
706	8000	82529
707	8008	82482
708	8019	82464
709	8026	82409
710	8038	82412
711	8050	82408
712	8058	82360
713	8070	82358
714	8078	82308
715	8093	82333
716	8107	82357
717	8117	82325
718	8125	82284
719	8136	82272
720	8146	82242
721	8157	82233
722	8167	82202
723	8176	82174
724	8188	82170
725	8199	82157
726	8209	82129
727	8220	82114
728	8233	82124
729	8243	82092
730	8254	82082
731	8264	82058
732	8274	82029
733	8287	82037
734	8300	82040
735	8310	82021
736	8323	82028
737	8334	82009
738	8343	81975
739	8355	81976
740	8367	81972
741	8376	81933
742	8388	81936
743	8399	81913
744	8411	81911
745	8421	81893
746	8432	81878
747	8441	81846
748	8453	81833
749	8466	81840
750	8476	81820
751	8487	81801
752	8497	81779
753	8506	81748
754	8517	81733
755	8526	81697
756	8540	81712
757	8553	81716
758	8560	81667
759	8570	81643
760	8581	81626
761	8590	81595
762	8600	81571
763	8609	81545
764	8620	81525
765	8630	81509
766	8637	81456
767	8647	81434
768	8656	81393
769	8667	81383
770	8675	81341
771	8684	81314
772	8694	81286
773	8703	81255
774	8714	81239
775	8722	81201
776	8732	81178
777	8740	81135
778	8749	81107
779	8757	81063
780	8769	81060
781	8782	81061
782	8789	81016
783	8797	80973
784	8804	80927
785	8815	80911
786	8822	80860
787	8833	80843
788	8844	80834
789	8852	80791
790	8864	80788
791	8872	80745
792	8883	80736
793	8894	80726
794	8904	80701
795	8916	80697
796	8924	80652
797	8935	80641
798	8945	80623
799	8956	80612
800	8968	80607
801	8980	80602
802	8989	80572
803	9001	80565
804	9012	80553
805	9020	80508
806	9030	80490
807	9037	80443
808	9049	80437
809	9059	80419
810	9066	80372
811	9078	80362
812	9092	80375
813	9108	80411
814	9119	80399
815	9129	80372
816	9138	80341
817	9147	80315
818	9154	80269
819	9166	80263
820	9179	80264
821	9186	80220
822	9197	80203
823	9212	80227
824	9221	80200
825	9232	80185
826	9244	80180
827	9252	80144
828	9262	80123
829	9271	80095
830	9280	80063
831	9291	80048
832	9299	80014
833	9311	80010
834	9326	80029
835	9337	80013
836	9348	80005
837	9359	79989
838	9367	79951
839	9377	79929
840	9386	79904
841	9396	79883
842	9408	79875
843	9418	79854
844	9430	79851
845	9440	79829
846	9451	79821
847	9461	79800
848	9469	79761
849	9479	79742
850	9493	79752
851	9501	79716
852	9513	79709
853	9527	79721
854	9540	79728
855	9550	79705
856	9561	79696
857	9569	79659
858	9585	79681
859	9596	79672
860	9607	79664
861	9622	79677
862	9632	79664
863	9645	79664
864	9652	79618
865	9668	79644
866	9678	79628
867	9686	79586
868	9697	79581
869	9707	79557
870	9716	79531
871	9729	79528
872	9738	79502
873	9747	79471
874	9760	79475
875	9768	79445
876	9779	79429
877	9790	79413
878	9796	79360
879	9807	79355
880	9816	79322
881	9830	79337
882	9839	79305
883	9847	79270
884	9861	79279
885	9873	79277
886	9882	79247
887	9892	79230
888	9906	79244
889	9914	79201
890	9927	79206
891	9938	79195
892	9947	79164
893	9959	79164
894	9969	79142
895	9979	79119
896	9989	79101
897	9997	79064
898	10006	79035
899	10015	79010
900	10027	79004
901	10039	78998
902	10046	78958
903	10062	78982
904	10073	78974
905	10086	78980
906	10096	78958
907	10107	78947
908	10117	78928
909	10128	78910
910	10138	78891
911	10146	78860
912	10156	78839
913	10163	78791
914	10174	78783
915	10186	78780
916	10196	78757
917	10208	78758
918	10219	78741
919	10228	78716
920	10239	78699
921	10247	78665
922	10255	78634
923	10266	78624
924	10276	78599
925	10285	78574
926	10294	78547
927	10305	78536
928	10318	78539
929	10327	78511
930	10341	78524
931	10357	78544
932	10371	78562
933	10386	78577
934	10402	78599
935	10411	78576
936	10423	78569
937	10434	78560
938	10444	78538
939	10453	78512
940	10463	78491
941	10475	78485
942	10484	78458
943	10491	78423
944	10502	78407
945	10510	78372
946	10519	78349
947	10530	78337
948	10539	78310
949	10548	78284
950	10557	78252
951	10568	78242
952	10575	78202
953	10585	78181
954	10593	78151
955	10603	78126
956	10616	78130
957	10625	78107
958	10636	78094
959	10643	78051
960	10651	78017
961	10658	77979
962	10668	77957
963	10674	77913
964	10689	77926
965	10701	77923
966	10709	77893
967	10717	77858
968	10726	77833
969	10740	77837
970	10754	77853
971	10769	77866
972	10781	77866
973	10797	77889
974	10805	77853
975	10816	77842
976	10822	77792
977	10831	77772
978	10840	77741
979	10850	77725
980	10860	77705
981	10874	77716
982	10885	77701
983	10893	77669
984	10905	77667
985	10916	77658
986	10924	77622
987	10936	77618
988	10946	77597
989	10956	77577
990	10966	77564
991	10975	77536
992	10986	77527
993	10996	77506
994	11003	77468
995	11014	77454
996	11022	77422
997	11035	77422
998	11047	77423
999	11056	77396
1000	11068	77388
1001	11079	77376
1002	11087	77348
1003	11096	77324
1004	11105	77296
1005	11117	77294
1006	11128	77281
1007	11135	77244
1008	11146	77228
1009	11155	77203
1010	11166	77191
1011	11179	77193
1012	11188	77169
1013	11197	77145
1014	11210	77149
1015	11219	77122
1016	11231	77120
1017	11239	77086
1018	11251	77080
1019	11260	77058
1020	11270	77036
1021	11280	77020
1022	11288	76990
1023	11302	76994
1024	11313	76989
1025	11323	76967
1026	11337	76976
1027	11350	76982
1028	11359	76957
1029	11372	76958
1030	11385	76957
1031	11396	76948
1032	11406	76927
1033	11416	76913
1034	11428	76909
1035	11439	76893
1036	11448	76869
1037	11456	76843
1038	11467	76828
1039	11477	76813
1040	11486	76787
1041	11497	76775
1042	11505	76744
1043	11516	76732
1044	11528	76727
1045	11541	76732
1046	11553	76728
1047	11564	76716
1048	11575	76703
1049	11586	76689
1050	11595	76666
1051	11603	76636
1052	11612	76609
1053	11618	76567
1054	11630	76560
1055	11644	76570
1056	11652	76543
1057	11664	76533
1058	11672	76501
1059	11683	76494
1060	11694	76480
1061	11702	76449
1062	11711	76429
1063	11720	76400
1064	11729	76380
1065	11741	76375
1066	11751	76359
1067	11763	76349
1068	11774	76339
1069	11782	76309
1070	11793	76303
1071	11801	76268
1072	11812	76259
1073	11825	76260
1074	11836	76249
1075	11846	76233
1076	11854	76198
1077	11866	76194
1078	11874	76169
1079	11882	76138
1080	11896	76146
1081	11908	76136
1082	11915	76105
1083	11926	76094
1084	11936	76071
1085	11948	76069
1086	11958	76052
1087	11966	76023
1088	11976	76004
1089	11984	75975
1090	11996	75971
1091	12006	75953
1092	12016	75933
1093	12027	75925
1094	12034	75889
1095	12047	75891
1096	12062	75904
1097	12072	75885
1098	12082	75867
1099	12091	75847
1100	12101	75832
1101	12112	75816
1102	12122	75798
1103	12134	75795
1104	12147	75797
1105	12158	75790
1106	12168	75769
1107	12179	75756
1108	12190	75750
1109	12204	75755
1110	12212	75724
1111	12229	75751
1112	12238	75729
1113	12249	75716
1114	12261	75714
1115	12271	75693
1116	12280	75673
1117	12294	75678
1118	12306	75678
1119	12321	75690
1120	12331	75672
1121	12345	75681
1122	12356	75669
1123	12365	75645
1124	12377	75641
1125	12388	75629
1126	12399	75619
1127	12410	75606
1128	12421	75596
1129	12430	75574
1130	12445	75584
1131	12455	75567
1132	12465	75550
1133	12474	75531
1134	12486	75524
1135	12499	75523
1136	12512	75528
1137	12523	75515
1138	12535	75511
1139	12544	75489
1140	12557	75489
1141	12571	75493
1142	12582	75482
1143	12591	75463
1144	12601	75445
1145	12610	75420
1146	12621	75407
1147	12630	75388
1148	12640	75370
1149	12649	75344
1150	12660	75333
1151	12670	75320
1152	12677	75284
1153	12687	75267
